Symbol,Date,Open,High,Low,Close,Volume
KGJI,7-Aug-20,0.5822,0.62,0.5822,0.62,30100
KHC,7-Aug-20,35.14,35.45,34.98,35.41,4163500
KIDS,7-Aug-20,48.15,50,47.43,49.51,111700
KIN,7-Aug-20,4.03,4.34,4.03,4.19,452200
KINS,7-Aug-20,5.52,5.55,5.4,5.53,27500
KIRK,7-Aug-20,6.25,6.4899,6.21,6.27,826100
KLAC,7-Aug-20,201.86,206.5322,200.29,202.85,990900
KLDO,7-Aug-20,6.53,6.77,6.51,6.77,63700
KLIC,7-Aug-20,24.55,25.05,24.45,24.83,1010700
KLXE,7-Aug-20,9.07,9.07,8.62,8.81,83400
KMDA,7-Aug-20,8.58,8.87,8.5,8.7,63500
KNDI,7-Aug-20,10.01,10.28,8.82,9.06,10519000
KNSA,7-Aug-20,19.57,19.94,19.23,19.7,162100
KNSL,7-Aug-20,206.5,209.235,202.33,205.73,102800
KOD,7-Aug-20,48.25,49.025,47.45,48.1,155200
KOPN,7-Aug-20,1.89,1.89,1.76,1.8,442900
KOSS,7-Aug-20,2.37,2.4,2.23,2.3299,30000
KPTI,7-Aug-20,15.16,15.75,15.0899,15.23,1781900
KRKR,7-Aug-20,3.27,3.33,3.24,3.25,52200
KRMA,7-Aug-20,23.87,24,23.84,23.84,7300
KRMD,7-Aug-20,8.91,9.15,8.68,8.86,263600
KRNT,7-Aug-20,56.46,57.64,56.1,56.63,257600
KRNY,7-Aug-20,7.68,8.05,7.6,8.04,212100
KROS,7-Aug-20,35.35,36.83,34.65,36.3,33800
KRTX,7-Aug-20,84.26,87.7958,84.1052,86.03,84500
KRUS,7-Aug-20,10.41,11.0799,10.41,10.95,79300
KRYS,7-Aug-20,40,40.89,39.5,39.91,80700
KSMTU,7-Aug-20,9.95,10,9.95,10,335100
KTCC,7-Aug-20,9.1,9.105,8.13,8.13,76700
KTOS,7-Aug-20,18.82,19.41,18.78,19.36,1055400
KTOV,7-Aug-20,0.89,0.8949,0.8393,0.87,9674800
KTOVW,7-Aug-20,0.129,0.13,0.1004,0.11,102700
KURA,7-Aug-20,18,21.1,17.86,20.41,1751300
KVHI,7-Aug-20,7.74,7.87,7.74,7.78,45400
KXIN,7-Aug-20,1.04,1.07,1,1.01,47400
KZIA,7-Aug-20,7.7,8.19,5.82,6.4,21258200
KZR,7-Aug-20,4.55,4.67,4.47,4.62,162500
LACQ,7-Aug-20,10.42,10.4568,10.42,10.42,3000
LACQW,7-Aug-20,0.3301,0.35,0.3103,0.3464,17500
LAKE,7-Aug-20,23.42,24.61,23.27,23.44,579500
LAMR,7-Aug-20,64.22,65.38,64.205,65.12,606600
LANC,7-Aug-20,160.26,165.18,160.26,165.13,83100
LAND,7-Aug-20,15.91,16.76,15.9,16.5,205000
LANDP,7-Aug-20,26.1,26.1,25.92,25.975,1600
LARK,7-Aug-20,20.83,21.6,20.8,21.6,9400
LASR,7-Aug-20,25.14,25.7,24.4,25.26,328900
LATNW,7-Aug-20,0.3501,0.3519,0.3501,0.3519,5600
LAUR,7-Aug-20,12.51,13.02,12.43,12.9,1050300
LAWS,7-Aug-20,34.52,37.23,34.52,37.08,12300
LAZY,7-Aug-20,12.7,13.21,12.58,12.95,115600
LBAI,7-Aug-20,10.31,10.99,10.25,10.99,138700
LBC,7-Aug-20,9.78,10.2,9.78,10.2,36700
LBRDA,7-Aug-20,141.42,143.99,141.42,142.91,85100
LBRDK,7-Aug-20,142.62,146.02,142.62,144.9,1555500
LBTYA,7-Aug-20,22.52,22.66,22.105,22.39,1061400
LBTYK,7-Aug-20,21.92,22.08,21.48,21.76,2932900
LCA,7-Aug-20,12.08,13.01,12,12.19,3339200
LCAHU,7-Aug-20,13.06,14,13.06,13.3,47600
LCAHW,7-Aug-20,3.3,3.7,3.185,3.45,349500
LCNB,7-Aug-20,13.66,14.21,13.66,14.17,16200
LCUT,7-Aug-20,8.08,8.8599,7.855,8.62,16500
LDEM,7-Aug-20,51.62,51.62,51.62,51.62,300
LDSF,7-Aug-20,20.5,20.56,20.47,20.49,23400
LE,7-Aug-20,9.25,9.93,9.249,9.84,219600
LECO,7-Aug-20,93.43,95.28,93.0284,95.24,222800
LEDS,7-Aug-20,3.46,3.94,3.36,3.83,584400
LEGH,7-Aug-20,14.5,14.5,14.15,14.25,25200
LEGN,7-Aug-20,33.09,33.4769,31.25,31.96,251000
LEGR,7-Aug-20,31.8,31.89,31.69,31.89,132700
LEVL,7-Aug-20,16.52,16.52,16.16,16.23,3800
LFAC,7-Aug-20,10.6,10.6,10.465,10.5,46700
LFACW,7-Aug-20,0.67,0.67,0.67,0.67,2400
LFUS,7-Aug-20,185.55,186.98,181.755,185.16,68400
LFVN,7-Aug-20,13.39,13.57,13.24,13.56,27600
