,Symbol,Volume
535,CASH,193800
536,CASI,679700
537,CASS,23800
538,CASY,185000
539,CATB,101800
540,CATC,18700
541,CATH,116500
542,CATM,1473800
543,CATY,346000
544,CBAN,4300
545,CBAT,139500
546,CBAY,5422600
547,CBFV,5700
548,CBIO,152600
549,CBLI,1506500
550,CBMB,2100
551,CBMG,43900
552,CBNK,6400
553,CBPO,46900
554,CBRL,244600
555,CBSH,302100
556,CBSHP,9900
557,CBTX,34100
558,CCAP,14800
559,CCB,12600
560,CCBG,24800
561,CCCL,419300
562,CCD,82500
563,CCLP,37700
564,CCMP,171600
565,CCNC,31200
566,CCNE,24800
567,CCOI,581500
568,CCRC,2400
569,CCRN,371100
570,CCXI,377000
571,CDC,35500
572,CDEV,3165000
573,CDK,643100
574,CDL,10900
575,CDLX,565400
576,CDMO,415800
577,CDMOP,700
578,CDNA,583400
579,CDNS,1336400
580,CDTX,69400
581,CDW,678300
582,CDXC,422800
583,CDXS,552600
584,CDZI,180400
585,CECE,115300
586,CELC,25500
587,CELH,2176800
588,CEMI,5013300
589,CENT,138400
590,CENTA,320000
591,CENX,1058300
592,CERC,363000
593,CERN,1861900
594,CERS,1185700
595,CETV,149900
596,CETX,780100
597,CETXW,202700
598,CEVA,192600
599,CEY,1000
600,CEZ,2600
601,CFA,11100
602,CFB,125000
603,CFBI,1400
604,CFBK,5900
605,CFFA,140300
606,CFFAW,341200
607,CFFI,3800
608,CFFN,475400
609,CFMS,911600
610,CFO,65100
611,CFRX,234900
612,CG,1476500
613,CGBD,180700
614,CGEN,1367900
615,CGIX,93500
616,CGNX,411900
617,CGO,9000
618,CGRO,500
619,CGROU,130600
620,CGROW,121900
621,CHCI,71400
622,CHCO,44300
623,CHDN,277900
624,CHEF,1042700
625,CHEK,5785300
626,CHEKZ,11500
627,CHFS,12905300
628,CHI,184000
629,CHKP,1130400
630,CHMA,320500
631,CHMG,12000
632,CHNA,4400
633,CHNG,7742200
634,CHNGU,2900
635,CHNR,121700
636,CHPM,308200
637,CHPMU,600
638,CHRS,4272100
639,CHRW,1270000
640,CHSCL,13500
641,CHSCM,18300
642,CHSCN,15800
643,CHSCO,20900
644,CHSCP,7500
645,CHTR,810900
646,CHUY,381300
647,CHW,175600
648,CHY,210600
649,CIBR,304100
650,CID,300
651,CIDM,1624700
652,CIGI,72800
653,CIH,93400
654,CIIC,100000
655,CIICW,7600
656,CIL,2800
657,CINF,729000
658,CIVB,29200
659,CIZ,2300
660,CIZN,3400
661,CJJD,738100
662,CKPT,363400
663,CLAR,167800
664,CLBK,146700
665,CLBS,708900
666,CLCT,69000
667,CLDB,100
668,CLDX,516600
669,CLEU,18700
670,CLFD,60300
671,CLGN,800
672,CLIR,154000
673,CLLS,86800
674,CLMT,162600
675,CLNE,5463400
676,CLOU,1884900
677,CLPS,39100
678,CLPT,29300
679,CLRB,423300
680,CLRBZ,15500
681,CLRO,5300
682,CLSD,125200
683,CLSK,7628500
684,CLSN,729900
685,CLUB,143100
686,CLVS,10643600
687,CLWT,17300
688,CLXT,118300
689,CMBM,57300
690,CMCO,89500
691,CMCSA,10353100
692,CMCT,12000
693,CME,1903700
694,CMFNL,200
695,CMLS,149300
696,CMPR,154000
697,CMRX,415800
698,CMTL,253200
699,CNBKA,21800
700,CNCE,147000
701,CNCR,5000
702,CNDT,117877600
703,CNET,403500
704,CNFR,1800
705,CNNB,400
706,CNOB,136700
707,CNSL,472500
708,CNSP,62100
709,CNST,370000
710,CNTG,73600
711,CNTY,703500
712,CNXN,60900
713,COCP,3652800
714,CODA,13600
715,CODX,1922900
716,COFS,13500
717,COHR,176300
718,COHU,169400
719,COKE,42000
720,COLB,266700
721,COLL,575000
722,COLM,181300
723,COMM,5380100
724,COMT,81300
725,CONE,496000
726,CONN,393700
727,COOP,818300
728,CORE,217100
729,CORT,851600
730,COST,1759000
731,COUP,1498700
